year, month, day, hour, minute, second, lon, lat, depth, mag
1951, 12, 24, 0, 8, 27.000, 177.2500, -38.0800, 137.00, 3.684
1951, 12, 24, 16, 24, 33.000, 177.0300, -38.3000, 135.00, 4.199
1952, 1, 10, 8, 43, 25.000, 176.1600, -38.5200, 194.00, 4.008
1952, 1, 27, 12, 11, 40.000, 178.5000, -38.5400, 82.00, 3.764
1952, 2, 6, 3, 55, 47.000, 174.6100, -39.4800, 147.00, 3.711
1952, 2, 10, 5, 26, 37.000, 177.9500, -38.5300, 85.00, 5.185
1952, 2, 22, 8, 45, 37.000, 175.5900, -39.7100, 73.00, 3.939
1952, 2, 26, 5, 47, 20.000, 173.4700, -40.5000, 162.00, 3.523
1952, 3, 6, 9, 34, 31.000, 176.7300, -38.1900, 166.00, 4.635
1952, 3, 8, 20, 15, 52.000, 179.4000, -36.2900, 302.00, 3.598
1952, 3, 11, 2, 21, 11.000, 178.6800, -37.2800, 136.00, 3.942
1952, 3, 16, 14, 41, 10.000, 174.0700, -39.9800, 138.00, 4.498
1952, 3, 17, 5, 24, 5.000, 175.6300, -38.4700, 176.00, 3.744
1952, 3, 18, 15, 22, 58.000, 175.9700, -38.3400, 181.00, 3.529
1952, 3, 20, 16, 55, 33.000, 177.5600, -37.5500, 183.00, 4.391
1952, 3, 29, 12, 28, 54.000, 177.1500, -38.1600, 146.00, 3.204
1952, 4, 17, 14, 0, 36.000, 175.2300, -39.0100, 192.00, 3.553
1952, 4, 26, 6, 5, 20.000, 176.9000, -38.2800, 164.00, 3.212
1952, 5, 6, 6, 51, 20.000, 172.8300, -41.4000, 158.00, 3.226
1952, 5, 11, 6, 9, 14.000, 176.4100, -38.2000, 176.00, 4.356
1952, 5, 11, 8, 31, 41.000, 174.7700, -39.4200, 145.00, 4.379
1952, 5, 20, 14, 8, 54.000, 173.5200, -42.4800, 103.00, 3.357
1952, 5, 24, 18, 2, 55.000, 176.4700, -37.1900, 279.00, 3.907
1952, 5, 30, 10, 12, 5.000, 175.8700, -38.5800, 53.00, 3.272
1952, 6, 2, 23, 32, 16.000, 173.5500, -41.3900, 65.00, 3.754
1952, 6, 18, 2, 49, 16.000, 176.8400, -36.4700, 213.00, 3.911
1952, 6, 25, 17, 11, 45.000, 177.7600, -38.3400, 95.00, 3.937
1952, 6, 30, 8, 47, 34.000, 174.1100, -39.9400, 208.00, 3.005
1952, 7, 1, 17, 46, 16.000, 176.7100, -37.5600, 250.00, 3.772
1952, 7, 8, 16, 54, 3.000, 178.8000, -38.0700, 131.00, 3.800
1952, 7, 9, 9, 16, 47.000, 173.4700, -40.9400, 116.00, 3.224
1952, 7, 9, 11, 52, 36.000, 175.7500, -38.6400, 200.00, 4.758
1952, 7, 14, 0, 59, 41.000, 174.9400, -39.0900, 217.00, 3.392
1952, 7, 15, 3, 35, 56.000, 176.9600, -37.9100, 167.00, 4.327
1952, 7, 16, 3, 20, 22.000, 172.7600, -41.3300, 136.00, 4.197
1952, 8, 2, 9, 0, 22.000, 179.3300, -37.0000, 176.00, 3.795
1952, 8, 7, 0, 44, 46.000, 179.1100, -36.9600, 164.00, 3.926
1952, 8, 13, 8, 42, 20.000, 175.4400, -38.6000, 151.00, 3.447
1952, 8, 13, 16, 16, 10.000, 175.5200, -38.6300, 166.00, 3.666
1952, 9, 2, 14, 0, 24.000, 174.1600, -40.1300, 94.00, 3.583
1952, 9, 5, 1, 37, 12.000, 176.3700, -38.1700, 167.00, 3.868
1952, 9, 14, 8, 16, 43.000, 174.2100, -39.7000, 198.00, 3.437
1952, 9, 16, 7, 9, 58.000, 175.5800, -39.0000, 150.00, 3.347
1952, 9, 16, 8, 4, 45.000, 176.6600, -37.9500, 186.00, 3.364
1952, 9, 26, 5, 53, 21.000, 175.0900, -39.1500, 207.00, 3.518
1952, 9, 26, 13, 0, 58.000, 176.0900, -38.4700, 168.00, 3.406
1952, 9, 28, 1, 31, 35.000, 174.0700, -39.9400, 154.00, 4.409
