year, month, day, lon, lat, dep, mag, isslab
1953, 8, 26, 174.5300, -39.6000, 247.0000, 4.034, 1
1953, 9, 4, 175.9500, -38.5600, 155.0000, 4.253, 1
1953, 9, 6, 177.9200, -38.0200, 144.0000, 5.099, 1
1953, 9, 17, 179.6600, -36.8600, 176.0000, 3.948, 1
1953, 9, 29, 176.4800, -37.6000, 273.0000, 6.543, 1
1953, 10, 7, 173.7700, -38.9000, 110.0000, 3.800, 1
1953, 10, 25, 175.7600, -38.7700, 118.0000, 3.780, 1
1953, 10, 26, 175.7000, -38.8600, 120.0000, 3.011, 1
1953, 11, 9, 175.9900, -38.5900, 156.0000, 3.486, 1
1953, 11, 17, 174.3700, -40.3700, 86.0000, 3.092, 1
1953, 11, 21, 174.4200, -40.0600, 81.0000, 4.123, 1
1953, 11, 23, 174.6700, -39.1200, 182.0000, 3.373, 1
1953, 11, 28, 178.5100, -36.0800, 177.0000, 3.640, 1
1953, 11, 30, 176.0500, -38.4600, 181.0000, 3.070, 1
1953, 12, 5, 175.5400, -38.7400, 152.0000, 3.751, 1
1953, 12, 6, 176.0400, -38.2400, 184.0000, 4.184, 1
1953, 12, 10, 173.6700, -40.2300, 171.0000, 4.011, 1
1953, 12, 20, 175.5600, -39.1500, 114.0000, 3.127, 1
