clon,clat,cdep,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
177.8073,-34.2919,310.363,177.8532,-34.2581,307.435,177.8053,-34.3462,310.304,177.7614,-34.3259,313.263,177.8094,-34.2375,310.449
177.7637,-34.2716,313.295,177.8094,-34.2375,310.449,177.7614,-34.3259,313.263,177.7179,-34.3058,316.114,177.7661,-34.2171,313.354
177.7206,-34.2515,316.123,177.7661,-34.2171,313.354,177.7179,-34.3058,316.114,177.6750,-34.2860,318.866,177.7232,-34.1970,316.157
177.6780,-34.2317,318.854,177.7232,-34.1970,316.157,177.6750,-34.2860,318.866,177.6327,-34.2664,321.526,177.6809,-34.1772,318.867
177.6358,-34.2120,321.495,177.6809,-34.1772,318.867,177.6327,-34.2664,321.526,177.5908,-34.2470,324.099,177.6390,-34.1576,321.488
177.5942,-34.1927,324.051,177.6390,-34.1576,321.488,177.5908,-34.2470,324.099,177.5495,-34.2279,326.592,177.5976,-34.1381,324.026
177.5531,-34.1735,326.529,177.5976,-34.1381,324.026,177.5495,-34.2279,326.592,177.5087,-34.2090,329.009,177.5566,-34.1190,326.487
177.5124,-34.1545,328.932,177.5566,-34.1190,326.487,177.5087,-34.2090,329.009,177.4683,-34.1902,331.355,177.5161,-34.1000,328.875
177.4723,-34.1358,331.264,177.5161,-34.1000,328.875,177.4683,-34.1902,331.355,177.4285,-34.1717,333.633,177.4761,-34.0812,331.194
177.4326,-34.1173,333.531,177.4761,-34.0812,331.194,177.4285,-34.1717,333.633,177.3891,-34.1534,335.848,177.4365,-34.0627,333.448
177.3933,-34.0989,335.734,177.4365,-34.0627,333.448,177.3891,-34.1534,335.848,177.3502,-34.1353,338.001,177.3974,-34.0443,335.639
177.3545,-34.0808,337.877,177.3974,-34.0443,335.639,177.3502,-34.1353,338.001,177.3118,-34.1174,340.098,177.3587,-34.0262,337.772
177.3162,-34.0629,339.964,177.3587,-34.0262,337.772,177.3118,-34.1174,340.098,177.2738,-34.0997,342.139,177.3205,-34.0083,339.848
177.2783,-34.0452,341.996,177.3205,-34.0083,339.848,177.2738,-34.0997,342.139,177.2362,-34.0822,344.128,177.2826,-33.9905,341.871
177.2408,-34.0276,343.977,177.2826,-33.9905,341.871,177.2362,-34.0822,344.128,177.1991,-34.0649,346.067,177.2453,-33.9730,343.842
177.2038,-34.0103,345.908,177.2453,-33.9730,343.842,177.1991,-34.0649,346.067,177.1624,-34.0478,347.958,177.2083,-33.9556,345.765
177.1671,-33.9931,347.792,177.2083,-33.9556,345.765,177.1624,-34.0478,347.958,177.1261,-34.0308,349.803,177.1717,-33.9384,347.640
177.1309,-33.9762,349.630,177.1717,-33.9384,347.640,177.1261,-34.0308,349.803,177.0903,-34.0141,351.605,177.1355,-33.9214,349.471
177.0951,-33.9594,351.424,177.1355,-33.9214,349.471,177.0903,-34.0141,351.605,177.0548,-33.9975,353.364,177.0997,-33.9046,351.258
177.0597,-33.9427,353.177,177.0997,-33.9046,351.258,177.0548,-33.9975,353.364,177.0198,-33.9810,355.082,177.0644,-33.8879,353.004
177.0246,-33.9263,354.890,177.0644,-33.8879,353.004,177.0198,-33.9810,355.082,176.9851,-33.9648,356.762,177.0293,-33.8714,354.711
176.9900,-33.9100,356.564,177.0293,-33.8714,354.711,176.9851,-33.9648,356.762,176.9508,-33.9487,358.404,176.9947,-33.8551,356.378
